Fill Mode,Always
Capacity,2500
Count,2500
Index,Current,Unit,Voltage,Unit,Math,Output,Date,Time,Fractional
1,0.0645797,A,4.99968,V,F,CV, 05/08/2024,15:54:13,0.6237
2,0.063741,A,4.99964,V,F,CV, 05/08/2024,15:54:13,0.7303
3,0.0646625,A,4.99966,V,F,CV, 05/08/2024,15:54:13,0.8368
4,0.0873634,A,4.9997,V,F,CV, 05/08/2024,15:54:13,0.9433
5,0.0638765,A,4.99966,V,F,CV, 05/08/2024,15:54:14,0.0499
6,0.0640837,A,4.99968,V,F,CV, 05/08/2024,15:54:14,0.1564
7,0.0886981,A,4.99969,V,F,CV, 05/08/2024,15:54:14,0.2629
8,0.0639831,A,4.99968,V,F,CV, 05/08/2024,15:54:14,0.3694
9,0.063983,A,4.99964,V,F,CV, 05/08/2024,15:54:14,0.476
10,0.0643164,A,4.99968,V,F,CV, 05/08/2024,15:54:14,0.5825
11,0.0773515,A,4.99965,V,F,CV, 05/08/2024,15:54:14,0.689
12,0.0638787,A,4.99969,V,F,CV, 05/08/2024,15:54:14,0.7956
13,0.0644883,A,4.99969,V,F,CV, 05/08/2024,15:54:14,0.9021
14,0.0679374,A,4.99972,V,F,CV, 05/08/2024,15:54:15,0.0086
15,0.06476,A,4.99968,V,F,CV, 05/08/2024,15:54:15,0.1151
16,0.0645025,A,4.99967,V,F,CV, 05/08/2024,15:54:15,0.2216
17,0.0640802,A,4.99967,V,F,CV, 05/08/2024,15:54:15,0.3282
18,0.063561,A,4.99968,V,F,CV, 05/08/2024,15:54:15,0.4347
19,0.0634172,A,4.99969,V,F,CV, 05/08/2024,15:54:15,0.5412
20,0.064198,A,4.99966,V,F,CV, 05/08/2024,15:54:15,0.6478
21,0.0632946,A,4.99966,V,F,CV, 05/08/2024,15:54:15,0.7543
22,0.0640809,A,4.9997,V,F,CV, 05/08/2024,15:54:15,0.8609
23,0.0872844,A,4.9997,V,F,CV, 05/08/2024,15:54:15,0.9674
24,0.0640415,A,4.99966,V,F,CV, 05/08/2024,15:54:16,0.0739
25,0.0648506,A,4.99964,V,F,CV, 05/08/2024,15:54:16,0.1804
26,0.0642776,A,4.99969,V,F,CV, 05/08/2024,15:54:16,0.2869
27,0.064057,A,4.99967,V,F,CV, 05/08/2024,15:54:16,0.3934
28,0.0640832,A,4.99968,V,F,CV, 05/08/2024,15:54:16,0.4999
29,0.0640832,A,4.99967,V,F,CV, 05/08/2024,15:54:16,0.6065
30,0.0630842,A,4.9997,V,F,CV, 05/08/2024,15:54:16,0.713
31,0.0637975,A,4.99968,V,F,CV, 05/08/2024,15:54:16,0.8195
32,0.0760479,A,4.99968,V,F,CV, 05/08/2024,15:54:16,0.926
33,0.0635486,A,4.99966,V,F,CV, 05/08/2024,15:54:17,0.0325
34,0.0644194,A,4.99967,V,F,CV, 05/08/2024,15:54:17,0.139
35,0.0736647,A,4.99967,V,F,CV, 05/08/2024,15:54:17,0.2456
36,0.0644478,A,4.99964,V,F,CV, 05/08/2024,15:54:17,0.3521
37,0.0639463,A,4.9997,V,F,CV, 05/08/2024,15:54:17,0.4586
38,0.0640427,A,4.99971,V,F,CV, 05/08/2024,15:54:17,0.5652
39,0.0888924,A,4.99973,V,F,CV, 05/08/2024,15:54:17,0.6717
40,0.0633301,A,4.99972,V,F,CV, 05/08/2024,15:54:17,0.7782
41,0.0639053,A,4.9997,V,F,CV, 05/08/2024,15:54:17,0.8847
42,0.0883836,A,4.9997,V,F,CV, 05/08/2024,15:54:17,0.9913
43,0.0635797,A,4.99972,V,F,CV, 05/08/2024,15:54:18,0.0978
44,0.064429,A,4.99969,V,F,CV, 05/08/2024,15:54:18,0.2044
45,0.0641751,A,4.9997,V,F,CV, 05/08/2024,15:54:18,0.3109
46,0.0647153,A,4.99968,V,F,CV, 05/08/2024,15:54:18,0.4175
47,0.0646074,A,4.99971,V,F,CV, 05/08/2024,15:54:18,0.524
48,0.0645413,A,4.99969,V,F,CV, 05/08/2024,15:54:18,0.6305
49,0.0638243,A,4.9997,V,F,CV, 05/08/2024,15:54:18,0.7371
50,0.0639053,A,4.99967,V,F,CV, 05/08/2024,15:54:18,0.8436
51,0.0894725,A,4.99969,V,F,CV, 05/08/2024,15:54:18,0.9501
52,0.0634062,A,4.99971,V,F,CV, 05/08/2024,15:54:19,0.0566
53,0.0644345,A,4.99969,V,F,CV, 05/08/2024,15:54:19,0.1632
54,0.0647295,A,4.99971,V,F,CV, 05/08/2024,15:54:19,0.2697
55,0.0643333,A,4.99968,V,F,CV, 05/08/2024,15:54:19,0.3762
