Fill Mode,Always
Capacity,2500
Count,2500
Index,Current,Unit,Voltage,Unit,Math,Output,Date,Time,Fractional
1,0.0866966,A,4.99969,V,F,CV, 05/08/2024,15:48:31,0.5091
2,0.0633149,A,4.99965,V,F,CV, 05/08/2024,15:48:31,0.6157
3,0.0634421,A,4.99965,V,F,CV, 05/08/2024,15:48:31,0.7222
4,0.0886031,A,4.99968,V,F,CV, 05/08/2024,15:48:31,0.8288
5,0.0634179,A,4.99968,V,F,CV, 05/08/2024,15:48:31,0.9353
6,0.0639472,A,4.99966,V,F,CV, 05/08/2024,15:48:32,0.0419
7,0.0639357,A,4.99969,V,F,CV, 05/08/2024,15:48:32,0.1484
8,0.0638926,A,4.99967,V,F,CV, 05/08/2024,15:48:32,0.255
9,0.0646916,A,4.99965,V,F,CV, 05/08/2024,15:48:32,0.3616
10,0.071411,A,4.99966,V,F,CV, 05/08/2024,15:48:32,0.4681
11,0.0636743,A,4.99966,V,F,CV, 05/08/2024,15:48:32,0.5747
12,0.0639909,A,4.99966,V,F,CV, 05/08/2024,15:48:32,0.6813
13,0.0642429,A,4.99967,V,F,CV, 05/08/2024,15:48:32,0.7878
14,0.0631479,A,4.99965,V,F,CV, 05/08/2024,15:48:32,0.8944
15,0.0642077,A,4.99967,V,F,CV, 05/08/2024,15:48:33,0.001
16,0.0641832,A,4.99966,V,F,CV, 05/08/2024,15:48:33,0.1076
17,0.0631546,A,4.99969,V,F,CV, 05/08/2024,15:48:33,0.2142
18,0.0643734,A,4.99963,V,F,CV, 05/08/2024,15:48:33,0.3208
19,0.0742201,A,4.99964,V,F,CV, 05/08/2024,15:48:33,0.4274
20,0.0640745,A,4.9997,V,F,CV, 05/08/2024,15:48:33,0.5339
21,0.0646506,A,4.99966,V,F,CV, 05/08/2024,15:48:33,0.6405
22,0.0645868,A,4.99968,V,F,CV, 05/08/2024,15:48:33,0.747
23,0.0637672,A,4.99968,V,F,CV, 05/08/2024,15:48:33,0.8536
