Fill Mode,Always
Capacity,2500
Count,2500
Index,Current,Unit,Voltage,Unit,Math,Output,Date,Time,Fractional
1,0.0887025,A,4.99969,V,F,CV, 05/08/2024,16:00:38,0.1949
2,0.0691189,A,4.99972,V,F,CV, 05/08/2024,16:00:38,0.3014
3,0.067974,A,4.99966,V,F,CV, 05/08/2024,16:00:38,0.4079
4,0.0651927,A,4.99969,V,F,CV, 05/08/2024,16:00:38,0.5144
5,0.0649406,A,4.99968,V,F,CV, 05/08/2024,16:00:38,0.6209
6,0.0638701,A,4.9997,V,F,CV, 05/08/2024,16:00:38,0.7275
7,0.0652966,A,4.99968,V,F,CV, 05/08/2024,16:00:38,0.834
8,0.0862898,A,4.99975,V,F,CV, 05/08/2024,16:00:38,0.9405
9,0.0719284,A,4.9997,V,F,CV, 05/08/2024,16:00:39,0.047
10,0.0813396,A,4.9997,V,F,CV, 05/08/2024,16:00:39,0.1535
11,0.0648102,A,4.9997,V,F,CV, 05/08/2024,16:00:39,0.26
12,0.0651257,A,4.99969,V,F,CV, 05/08/2024,16:00:39,0.3665
13,0.065308,A,4.9997,V,F,CV, 05/08/2024,16:00:39,0.473
14,0.0759718,A,4.99969,V,F,CV, 05/08/2024,16:00:39,0.5796
15,0.0772093,A,4.9997,V,F,CV, 05/08/2024,16:00:39,0.6861
16,0.0772094,A,4.99971,V,F,CV, 05/08/2024,16:00:39,0.7926
17,0.0808964,A,4.9997,V,F,CV, 05/08/2024,16:00:39,0.8991
18,0.0642106,A,4.99969,V,F,CV, 05/08/2024,16:00:40,0.0056
19,0.0640629,A,4.99965,V,F,CV, 05/08/2024,16:00:40,0.1122
20,0.0876214,A,4.99971,V,F,CV, 05/08/2024,16:00:40,0.2187
21,0.0755072,A,4.99972,V,F,CV, 05/08/2024,16:00:40,0.3252
22,0.0859359,A,4.99969,V,F,CV, 05/08/2024,16:00:40,0.4317
23,0.0653543,A,4.99969,V,F,CV, 05/08/2024,16:00:40,0.5382
24,0.0653256,A,4.99974,V,F,CV, 05/08/2024,16:00:40,0.6447
25,0.0642163,A,4.99971,V,F,CV, 05/08/2024,16:00:40,0.7513
26,0.0646277,A,4.99969,V,F,CV, 05/08/2024,16:00:40,0.8578
27,0.0759085,A,4.9997,V,F,CV, 05/08/2024,16:00:40,0.9643
28,0.0771618,A,4.99969,V,F,CV, 05/08/2024,16:00:41,0.0708
29,0.0657072,A,4.99968,V,F,CV, 05/08/2024,16:00:41,0.1773
30,0.0637152,A,4.99969,V,F,CV, 05/08/2024,16:00:41,0.2838
31,0.0652501,A,4.99969,V,F,CV, 05/08/2024,16:00:41,0.3903
32,0.0672247,A,4.99971,V,F,CV, 05/08/2024,16:00:41,0.4968
33,0.0788663,A,4.99973,V,F,CV, 05/08/2024,16:00:41,0.6033
34,0.0754033,A,4.99969,V,F,CV, 05/08/2024,16:00:41,0.7098
35,0.0651402,A,4.99973,V,F,CV, 05/08/2024,16:00:41,0.8164
36,0.0643691,A,4.99969,V,F,CV, 05/08/2024,16:00:41,0.9228
37,0.0644716,A,4.99973,V,F,CV, 05/08/2024,16:00:42,0.029
38,0.0769329,A,4.99972,V,F,CV, 05/08/2024,16:00:42,0.1355
39,0.0796527,A,4.99969,V,F,CV, 05/08/2024,16:00:42,0.242
40,0.0914039,A,4.9997,V,F,CV, 05/08/2024,16:00:42,0.3485
41,0.0648699,A,4.99971,V,F,CV, 05/08/2024,16:00:42,0.4551
42,0.0649282,A,4.99972,V,F,CV, 05/08/2024,16:00:42,0.5616
43,0.0649535,A,4.9997,V,F,CV, 05/08/2024,16:00:42,0.6681
44,0.0779446,A,4.99969,V,F,CV, 05/08/2024,16:00:42,0.7746
45,0.0755627,A,4.99971,V,F,CV, 05/08/2024,16:00:42,0.8811
46,0.0826973,A,4.99968,V,F,CV, 05/08/2024,16:00:42,0.9876
47,0.0644855,A,4.99969,V,F,CV, 05/08/2024,16:00:43,0.0941
48,0.0643048,A,4.99969,V,F,CV, 05/08/2024,16:00:43,0.2006
49,0.0647484,A,4.99972,V,F,CV, 05/08/2024,16:00:43,0.3071
50,0.0742878,A,4.9997,V,F,CV, 05/08/2024,16:00:43,0.4136
51,0.0643194,A,4.99969,V,F,CV, 05/08/2024,16:00:43,0.5201
52,0.0855269,A,4.99971,V,F,CV, 05/08/2024,16:00:43,0.6267
53,0.0646808,A,4.99969,V,F,CV, 05/08/2024,16:00:43,0.7332
54,0.0646971,A,4.9997,V,F,CV, 05/08/2024,16:00:43,0.8397
55,0.0654813,A,4.99967,V,F,CV, 05/08/2024,16:00:43,0.9462
56,0.081872,A,4.99969,V,F,CV, 05/08/2024,16:00:44,0.0527
57,0.0713454,A,4.99967,V,F,CV, 05/08/2024,16:00:44,0.1593
58,0.0883173,A,4.99969,V,F,CV, 05/08/2024,16:00:44,0.2658
59,0.0647278,A,4.99968,V,F,CV, 05/08/2024,16:00:44,0.3723
60,0.063359,A,4.99965,V,F,CV, 05/08/2024,16:00:44,0.4788
61,0.0640649,A,4.99967,V,F,CV, 05/08/2024,16:00:44,0.5853
62,0.0839,A,4.9997,V,F,CV, 05/08/2024,16:00:44,0.6919
63,0.0673895,A,4.99969,V,F,CV, 05/08/2024,16:00:44,0.7984
64,0.0800348,A,4.99968,V,F,CV, 05/08/2024,16:00:44,0.9049
65,0.0649139,A,4.9997,V,F,CV, 05/08/2024,16:00:45,0.0115
66,0.0659087,A,4.99968,V,F,CV, 05/08/2024,16:00:45,0.1181
67,0.0645894,A,4.99971,V,F,CV, 05/08/2024,16:00:45,0.2246
68,0.0687893,A,4.99968,V,F,CV, 05/08/2024,16:00:45,0.3311
69,0.0759377,A,4.99967,V,F,CV, 05/08/2024,16:00:45,0.4377
70,0.0645678,A,4.99968,V,F,CV, 05/08/2024,16:00:45,0.5442
71,0.0638541,A,4.99969,V,F,CV, 05/08/2024,16:00:45,0.6508
72,0.0644587,A,4.99966,V,F,CV, 05/08/2024,16:00:45,0.7573
73,0.0675089,A,4.99966,V,F,CV, 05/08/2024,16:00:45,0.8639
74,0.0850507,A,4.99967,V,F,CV, 05/08/2024,16:00:45,0.9704
75,0.078562,A,4.99967,V,F,CV, 05/08/2024,16:00:46,0.0769
76,0.0646487,A,4.99969,V,F,CV, 05/08/2024,16:00:46,0.1834
77,0.0654896,A,4.9997,V,F,CV, 05/08/2024,16:00:46,0.29
78,0.0896697,A,4.99966,V,F,CV, 05/08/2024,16:00:46,0.3965
79,0.0749588,A,4.99963,V,F,CV, 05/08/2024,16:00:46,0.503
80,0.0866271,A,4.99969,V,F,CV, 05/08/2024,16:00:46,0.6096
81,0.0644087,A,4.99968,V,F,CV, 05/08/2024,16:00:46,0.7161
82,0.0634154,A,4.99969,V,F,CV, 05/08/2024,16:00:46,0.8226
83,0.0651539,A,4.99969,V,F,CV, 05/08/2024,16:00:46,0.9291
84,0.0869042,A,4.9997,V,F,CV, 05/08/2024,16:00:47,0.0357
85,0.0921166,A,4.99968,V,F,CV, 05/08/2024,16:00:47,0.1422
86,0.0872034,A,4.99974,V,F,CV, 05/08/2024,16:00:47,0.2487
87,0.0793637,A,4.9997,V,F,CV, 05/08/2024,16:00:47,0.3553
88,0.0658739,A,4.99967,V,F,CV, 05/08/2024,16:00:47,0.4618
89,0.0650605,A,4.99971,V,F,CV, 05/08/2024,16:00:47,0.5683
90,0.0643909,A,4.99968,V,F,CV, 05/08/2024,16:00:47,0.6748
91,0.083284,A,4.99969,V,F,CV, 05/08/2024,16:00:47,0.7813
92,0.0722624,A,4.99969,V,F,CV, 05/08/2024,16:00:47,0.8878
93,0.0858455,A,4.99971,V,F,CV, 05/08/2024,16:00:47,0.9944
94,0.063684,A,4.99971,V,F,CV, 05/08/2024,16:00:48,0.1009
95,0.0651674,A,4.9997,V,F,CV, 05/08/2024,16:00:48,0.2073
96,0.0812814,A,4.99969,V,F,CV, 05/08/2024,16:00:48,0.3139
97,0.0777489,A,4.99971,V,F,CV, 05/08/2024,16:00:48,0.4204
